"Département (Champ géographique)","Code Commune (Champ géographique)","Nom Commune (Champ géographique)","Section (Références cadastrales)","Bâtiment (Identification du local)","N° voirie (Adresse du local)","Indice de répétition (Adresse du local)","Nature voie (Adresse du local)","Nom voie (Adresse du local)","N° MAJIC (Propriétaire(s) du local)","N° SIREN (Propriétaire(s) du local)","Forme juridique (Propriétaire(s) du local)","Forme juridique abrégée (Propriétaire(s) du local)","Dénomination (Propriétaire(s) du local)","Adresse","Adresse_complete"
59,350,"LILLE","C","A",83,"","RUE","JACQUART LOMME","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","RUE JACQUART LOMME","83 RUE JACQUART LOMME"
59,350,"LILLE","C","A",85,"","RUE","JACQUART LOMME","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","RUE JACQUART LOMME","85 RUE JACQUART LOMME"
59,350,"LILLE","C","A",95,"","RUE","JACQUART LOMME","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","RUE JACQUART LOMME","95 RUE JACQUART LOMME"
59,350,"LILLE","C","A",101,"","RUE","JACQUART LOMME","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","RUE JACQUART LOMME","101 RUE JACQUART LOMME"
59,350,"LILLE","C","A",311,"","AVENUE","ARTHUR NOTEBART","PBCJZ5","457503837",5202,"SNC","DCA-MORY SHIPP","AVENUE ARTHUR NOTEBART","311 AVENUE ARTHUR NOTEBART"
59,350,"LILLE","C","B",311,"","AVENUE","ARTHUR NOTEBART","PBCJZ5","457503837",5202,"SNC","DCA-MORY SHIPP","AVENUE ARTHUR NOTEBART","311 AVENUE ARTHUR NOTEBART"
59,350,"LILLE","C","C",311,"","AVENUE","ARTHUR NOTEBART","PBCJZ5","457503837",5202,"SNC","DCA-MORY SHIPP","AVENUE ARTHUR NOTEBART","311 AVENUE ARTHUR NOTEBART"
59,350,"LILLE","C","A",220,"T","RUE","VICTOR HUGO LOMME","PBJJ58","245900410",7344,"","METROPOLE EUROPEENNE DE LILLE","RUE VICTOR HUGO LOMME","220 RUE VICTOR HUGO LOMME"
59,350,"LILLE","C","A",222,"","RUE","VICTOR HUGO LOMME","PBJJ58","245900410",7344,"","METROPOLE EUROPEENNE DE LILLE","RUE VICTOR HUGO LOMME","222 RUE VICTOR HUGO LOMME"
59,350,"LILLE","C","A",88,"","RUE","MARTYRS DE RESISTANCE","PBCVVK","413782509",4140,"EPIC","LILLE METROPOLE HABITAT OPH DE LA METROPOLE EUROPEENNE DE LI","RUE MARTYRS DE RESISTANCE","88 RUE MARTYRS DE RESISTANCE"
59,350,"LILLE","C","A",170,"","AVENUE","ARTHUR NOTEBART","PBCB9H","U21083505",7210,"COM","COMMUNE DE LOMME","AVENUE ARTHUR NOTEBART","170 AVENUE ARTHUR NOTEBART"
59,350,"LILLE","C","A",172,"","AVENUE","ARTHUR NOTEBART","PBCB9H","U21083505",7210,"COM","COMMUNE DE LOMME","AVENUE ARTHUR NOTEBART","172 AVENUE ARTHUR NOTEBART"
59,350,"LILLE","C","A",174,"","AVENUE","ARTHUR NOTEBART","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","AVENUE ARTHUR NOTEBART","174 AVENUE ARTHUR NOTEBART"
59,350,"LILLE","C","A",192,"","AVENUE","ARTHUR NOTEBART","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","AVENUE ARTHUR NOTEBART","192 AVENUE ARTHUR NOTEBART"
59,350,"LILLE","C","A",9000,"","","LE MARAIS","P9MBBC","444608442",5699,"SA","ENEDIS"," LE MARAIS","9000  LE MARAIS"
59,350,"LILLE","C","A",9000,"","","LE MARAIS","P998MW","444608442",5699,"SA","ENEDIS"," LE MARAIS","9000  LE MARAIS"
59,350,"LILLE","C","A",170,"B","AVENUE","ARTHUR NOTEBART","PBCB9H","U21083505",7210,"COM","COMMUNE DE LOMME","AVENUE ARTHUR NOTEBART","170 AVENUE ARTHUR NOTEBART"
59,350,"LILLE","C","A",47,"","RUE","VICTOR HUGO LOMME","PBHRWS","529646788",6540,"SCI","JOMNI","RUE VICTOR HUGO LOMME","47 RUE VICTOR HUGO LOMME"
59,350,"LILLE","C","A",3,"","RUE","V HUGO CTE ESPERANCE","PBHWTJ","442977930",6540,"SCI","SCI TNS","RUE V HUGO CTE ESPERANCE","3 RUE V HUGO CTE ESPERANCE"
59,350,"LILLE","C","A",87,"","RUE","VICTOR HUGO LOMME","PBCLBM","454045147",6540,"SCI","L O H 87","RUE VICTOR HUGO LOMME","87 RUE VICTOR HUGO LOMME"
59,350,"LILLE","C","PK",14,"","RUE","LEO LAGRANGE LOMME","PBH6KP","788571974",6540,"SCI","RICAMILLE","RUE LEO LAGRANGE LOMME","14 RUE LEO LAGRANGE LOMME"
59,350,"LILLE","C","PK",14,"","RUE","LEO LAGRANGE LOMME","PBH7VS","790120372",6540,"SCI","SOCIETE CIVILE IMMOBILIERE LA BICHE","RUE LEO LAGRANGE LOMME","14 RUE LEO LAGRANGE LOMME"
59,350,"LILLE","C","PK",14,"","RUE","LEO LAGRANGE LOMME","PBHVML","U14474311",9900,"","ALEO CLAIR SYNDIC","RUE LEO LAGRANGE LOMME","14 RUE LEO LAGRANGE LOMME"
59,350,"LILLE","C","PK",14,"","RUE","LEO LAGRANGE LOMME","PBH5DP","752066852",6599,"SC","SCCV LE MARAIS","RUE LEO LAGRANGE LOMME","14 RUE LEO LAGRANGE LOMME"
59,350,"LILLE","C","A",196,"","AVENUE","ARTHUR NOTEBART","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","AVENUE ARTHUR NOTEBART","196 AVENUE ARTHUR NOTEBART"
59,350,"LILLE","C","A",200,"","AVENUE","ARTHUR NOTEBART","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","AVENUE ARTHUR NOTEBART","200 AVENUE ARTHUR NOTEBART"
59,350,"LILLE","C","A",218,"","AVENUE","ARTHUR NOTEBART","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","AVENUE ARTHUR NOTEBART","218 AVENUE ARTHUR NOTEBART"
59,350,"LILLE","C","A",224,"","AVENUE","ARTHUR NOTEBART","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","AVENUE ARTHUR NOTEBART","224 AVENUE ARTHUR NOTEBART"
59,350,"LILLE","C","A",125,"","RUE","VICTOR HUGO LOMME","PBC6ZR","352787899",6541,"SCI","DU VELY","RUE VICTOR HUGO LOMME","125 RUE VICTOR HUGO LOMME"
59,350,"LILLE","C","B",131,"","RUE","VICTOR HUGO LOMME","PBCPSG","490190816",6540,"SCI","SELC INVEST","RUE VICTOR HUGO LOMME","131 RUE VICTOR HUGO LOMME"
59,350,"LILLE","C","C",264,"","AVENUE","ARTHUR NOTEBART","PBJ29L","824567473",6540,"SCI","LE NOTEBART","AVENUE ARTHUR NOTEBART","264 AVENUE ARTHUR NOTEBART"
59,350,"LILLE","C","A",175,"","RUE","VICTOR HUGO LOMME","PBJKVF","807635115",6540,"SCI","BVB","RUE VICTOR HUGO LOMME","175 RUE VICTOR HUGO LOMME"
59,350,"LILLE","C","A",1,"B","RUE","JULES NOUTOUR","PBJKVF","807635115",6540,"SCI","BVB","RUE JULES NOUTOUR","1 RUE JULES NOUTOUR"
59,350,"LILLE","C","B",14,"","RUE","JULES NOUTOUR","P9MBBC","444608442",5699,"SA","ENEDIS","RUE JULES NOUTOUR","14 RUE JULES NOUTOUR"
59,350,"LILLE","C","B",14,"","RUE","JULES NOUTOUR","P998MW","444608442",5699,"SA","ENEDIS","RUE JULES NOUTOUR","14 RUE JULES NOUTOUR"
59,350,"LILLE","C","A",290,"","AVENUE","ARTHUR NOTEBART","PBHCNT","509019923",6540,"SCI","DE LILETTE","AVENUE ARTHUR NOTEBART","290 AVENUE ARTHUR NOTEBART"
59,350,"LILLE","C","A",16,"","RUE","HEGEL LOMME","PBCJZ5","457503837",5202,"SNC","DCA-MORY SHIPP","RUE HEGEL LOMME","16 RUE HEGEL LOMME"
59,350,"LILLE","C","A",66,"","RUE","JEAN BAPTISTE DUMAS","PBJ22Z","825246093",6540,"SCI","SCI PVMS","RUE JEAN BAPTISTE DUMAS","66 RUE JEAN BAPTISTE DUMAS"
