nom,validations
ORGERUS BEHOUST,205.0
ORLY VILLE,1894.0
OSNY,254.0
OURCQ,7837.0
OZOIR LA FERRIERE,1691.0
PALAIS ROYAL MUSEE DU LOUVRE,13986.0
PANTIN,7811.0
PARC DES EXPOSITIONS,3935.0
PARMENTIER,6320.0
PASSY,5978.0
PASTEUR,8629.0
PELLEPORT,669.0
PERE LACHAISE,9293.0
PEREIRE LEVALLOIS,8091.0
PERNETY,6407.0
PERSAN BEAUMONT,2519.0
PETIT JOUY LES LOGES,111.0
PETIT VAUX,261.0
PHILIPPE AUGUSTE,3377.0
PICPUS,2759.0
PIERRE CURIE,3469.0
PIERREFITTE T11,860.0
PIERREFITTE STAINS,7581.0
PIERRELAYE,788.0
PIGALLE,9160.0
PLACE D ITALIE,21405.0
PLACE DE CLICHY,13983.0
PLACE DES FETES,6034.0
PLACE MONGE,5485.0
PLAISANCE,9926.0
PLAISIR GRIGNON,3225.0
PLAISIR LES CLAYES,964.0
POISSONNIERE,7150.0
POISSY,12607.0
PONT DE L ALMA,780.0
PONT DE LEVALLOIS BECON,10175.0
PONT DE NEUILLY,12416.0
PONT DE RUNGIS,474.0
PONT DE SEVRES,10476.0
PONT CARDINET,3674.0
PONT MARIE,3217.0
PONT NEUF,2720.0
PONT PETIT,123.0
PONTHIERRY PRINGY,328.0
PONTOISE,4643.0
PORCHEFONTAINE,714.0
PORTE D AUTEUIL,1008.0
PORTE D ITALIE,5430.0
PORTE D IVRY,4577.0
PORTE D ORLEANS,13409.0
PORTE DAUPHINE,5790.0
PORTE DE BAGNOLET,8077.0
PORTE DE CHAMPERRET,6384.0
PORTE DE CHARENTON,4426.0
PORTE DE CHOISY,5990.0
PORTE DE CLICHY,9536.0
PORTE DE CLIGNANCOURT,19069.0
PORTE DE LA CHAPELLE,5307.0
PORTE DE LA VILLETTE,9484.0
PORTE DE MONTREUIL,8944.0
PORTE DE PANTIN,9806.0
PORTE DE SAINT CLOUD,9865.0
PORTE DE SAINT OUEN,8316.0
PORTE DE VANVES,9631.0
PORTE DE VERSAILLES,10213.0
PORTE DE VINCENNES,18270.0
PORTE DES LILAS,6960.0
PORTE DOREE,4841.0
PORTE MAILLOT,21207.0
PORTE DE CLICHY,1258.0
PRE SAINT GERVAIS,806.0
PRESLES COURCELLES,238.0
PROVINS,383.0
PUTEAUX,2446.0
PYRAMIDES,12907.0
PYRENEES,5585.0
QUAI DE LA GARE,6828.0
QUAI DE LA RAPEE,2286.0
QUATRE SEPTEMBRE,4139.0
RAMBOUILLET,4401.0
RAMBUTEAU,6584.0
RANELAGH,4465.0
RASPAIL,3741.0
REAUMUR SEBASTOPOL,10342.0
RENNES,2266.0
REPUBLIQUE,30159.0
REPUBLIQUE MARX DORMOY,75.0
REUILLY DIDEROT,14293.0
RICHARD LENOIR,4391.0
RICHELIEU DROUOT,9459.0
RIQUET,5174.0
RIS ORANGIS,755.0
ROBESPIERRE,9236.0
ROISSY EN BRIE,2386.0
ROMAIN ROLAND,155.0
ROME,5355.0
ROSA PARKS,9847.0
ROSNY BOIS PERRIER,5170.0
ROSNY SOUS BOIS,5062.0
ROSNY SUR SEINE,184.0
ROUGEMONT CHANTELOUP,478.0
RUE DE LA POMPE,5431.0
RUE DES BOULETS,5434.0
RUE DU BAC,4538.0
SAINT AMBROISE,5811.0
SAINT AUGUSTIN,5833.0
SAINT CHERON,329.0
SAINT CLOUD,5315.0
SAINT CYR,3165.0
SAINT DENIS,17619.0
SAINT DENIS PORTE DE PARIS,8321.0
SAINT DENIS UNIVERSITE,10431.0
SAINT FARGEAU,1639.0
SAINT FRANCOIS XAVIER,3547.0
SAINT GEORGES,1894.0
SAINT GERMAIN BEL AIR FOURQUEUX,12.0
SAINT GERMAIN DES PRES,7541.0
SAINT GERMAIN GRANDE CEINTURE,8.0
SAINT GRATIEN,2616.0
SAINT JACQUES,4317.0
SAINT LAZARE,176509.0
SAINT LEU LA FORET,1283.0
SAINT MAMMES,175.0
SAINT MANDE TOURELLE,13450.0
SAINT MARCEL,4470.0
SAINT MARTIN D ETAMPES,384.0
SAINT MAUR,5836.0
SAINT MICHEL,10475.0
SAINT MICHEL NOTRE DAME,7459.0
SAINT MICHEL SUR ORGE,3105.0
SAINT NOM LA BRETECHE FORET DE MARLY,473.0
SAINT OUEN,3913.0
SAINT OUEN L AUMONE,1590.0
