X,Y,osm_id,type,name,brand,address,Code Postal,search_address,cat_mag,Supermarket
-0.5720273,44.8524579004816,node/6971588685,fast_food,Léogusto,,9 RUE RODE,33000,RUE RODE,0,0
-0.5545031,44.8258114004839,node/2483788354,tobacco,Tabac Presse Loto,,74 RUE DES TERRES DE BORDE,33800,RUE DES TERRES DE BORDE,0,0
-0.6139191,44.8496324004819,node/7392737634,estate_agent,BCI,,13 PLACE FREDERIC OZANAM,33000,PLACE FREDERIC OZANAM,0,0
-0.5682895,44.8295653004836,node/1752266358,bar,Le Petit Prince,,7 COURS DE L YSER,33800,COURS DE L YSER,0,0
-0.5680688,44.8547678004814,node/8841061729,it,Kaizen Developments,,31 RUE BARREYRE,33300,RUE BARREYRE,0,0
-0.5714408,44.8355559004831,node/4838866386,ice_cream,M&O Glacier,,53 RUE SAINT JAMES,33000,RUE SAINT JAMES,0,0
-0.5782879,44.8352396004831,node/7263459859,restaurant,Le 428,,42 RUE MARECHAL JOFFRE,33000,RUE MARECHAL JOFFRE,0,0
-0.5724222,44.8235848004841,node/7981650047,bicycle,Holland Bikes,Bicicapace;Bakfiets;Dolly;Gazelle,182 COURS DE LA SOMME,33800,COURS DE LA SOMME,0,0
-0.607275116660859,44.8233661640785,way/538296801,restaurant,Resto U' le Mascaret,,4 RUE PAUL QUINSAC,33000,RUE PAUL QUINSAC,0,0
-0.5718713,44.8389991004828,node/4903386921,tobacco,Tabac Presse Saint Genez Jean Pierre,,44 RUE DU PAS SAINT GEORGES,33000,RUE DU PAS SAINT GEORGES,0,0
-0.6137813,44.860000400481,node/783501445,pharmacy,,,46 RUE LATESTA,33200,RUE LATESTA,0,0
-0.5709179,44.8382342004829,node/7245994385,restaurant,Ann Kha,,1 RUE DU CERF VOLANT,33000,RUE DU CERF VOLANT,0,0
-0.5722652,44.8525606004816,node/1923380863,pub,The Market Tavern,,15 RUE RODE,33000,RUE RODE,0,0
-0.5704402,44.8373332004829,node/4002232196,restaurant,Ours Café,,18 RUE SAINTE COLOMBE,33000,RUE SAINTE COLOMBE,0,0
-0.5759335,44.8434849004824,node/4440381889,restaurant,Villa Tourny,,20 ALLEE DE TOURNY,33000,ALLEE DE TOURNY,0,0
-0.5587659,44.8406489004827,node/4217564615,alcohol,Ma Cave à Vins,,3 AVENUE THIERS,33100,AVENUE THIERS,0,0
-0.5673933,44.8354850004831,node/2518877718,bar,Le Wunderbar,,8 RUE MAURIAC,33000,RUE MAURIAC,0,0
-0.580242,44.8468753004821,node/7358928881,bakery,"Boulangerie, pâtisserie Perrin",,55 RUE FONDAUDEGE,33000,RUE FONDAUDEGE,0,0
-0.5794668,44.8416379004826,node/4558680183,cafe,L'Intendance,,2 RUE DE LA VIEILLE TOUR,33000,RUE DE LA VIEILLE TOUR,0,0
-0.5594106,44.8572137004812,node/4428678091,restaurant,Makila Kafé,,21 QUAI DE BACALAN,33300,QUAI DE BACALAN,0,0
-0.5536661,44.8285519004837,node/7019860164,nightclub,Pachanga Club Bordeaux,,39 QUAI DE PALUDATE,33800,QUAI DE PALUDATE,0,0
-0.5725665,44.8541010004815,node/6934438033,travel_agency,Kuoni & Univairmer,Kuoni;Univairmer,51 COURS PORTAL,33000,COURS PORTAL,0,0
-0.5780788,44.8319321004834,node/1885361664,bar,Chez Helios,,1 RUE EDMOND COSTEDOAT,33000,RUE EDMOND COSTEDOAT,0,0
-0.5733486,44.8523136004817,node/4769733218,coffee,Cafés Régus,,8 COURS PORTAL,33000,COURS PORTAL,0,0
-0.5899316,44.825141300484,node/7433432118,alcohol,Maison Désiré,,11 COURS DU MARECHAL GALLIENI,33000,COURS DU MARECHAL GALLIENI,0,0
-0.57058,44.8402742004827,node/2353659488,restaurant,Ottoman,,18 RUE DES FAUSSETS,33000,RUE DES FAUSSETS,0,0
