"DEP","DEPCOM","Equipement","coord_geo"
"59","59350","École maternelle","(50.64247784008111, 3.0545201206087826)"
"59","59350","Enseignement supérieur","(50.63328312533046, 3.0448896221665693)"
"59","59350","Enseignement supérieur","(50.63347160643477, 3.044830526460467)"
"59","59350","Enseignement supérieur","(50.6324666920072, 3.0442595758329123)"
"59","59350","Enseignement supérieur","(50.6052846392054, 3.0395098512990035)"
"59","59350","École maternelle","(50.648663911385064, 3.004600009130003)"
"59","59350","Enseignement Secondaire","(50.62855036955399, 3.118213428036115)"
"59","59350","Enseignement Secondaire","(50.630905561398514, 3.092440350927269)"
"59","59350","Enseignement supérieur","(50.613588246684756, 3.032200151850481)"
"59","59350","Enseignement supérieur","(50.613588246684756, 3.032200151850481)"
"59","59350","Enseignement supérieur","(50.629730514288816, 3.0627899525960616)"
"59","59350","Enseignement supérieur","(50.628958011090745, 3.0641801592380964)"
"59","59350","École maternelle","(50.632794563010904, 3.027709860585612)"
"59","59350","Enseignement supérieur","(50.61718629678335, 3.075320104376972)"
"59","59350","Enseignement supérieur","(50.62520880791217, 3.037080572699617)"
"59","59350","École maternelle","(50.645205010880524, 3.087580472525444)"
"59","59350","Enseignement supérieur","(50.628214412165924, 3.0396901426035847)"
"59","59350","Enseignement supérieur","(50.63316577694395, 3.0664305070009297)"
"59","59350","École maternelle","(50.607885309688605, 3.045280159782036)"
"59","59350","Enseignement supérieur","(50.62089301169533, 3.0748897562099176)"
"59","59350","Enseignement supérieur","(50.621268389427364, 3.06136020150387)"
"59","59350","Enseignement Secondaire","(50.61680261809716, 3.025799573068611)"
"59","59350","Enseignement supérieur","(50.63274962927873, 3.086420048220073)"
"59","59350","École maternelle","(50.62248727831403, 3.064579596583635)"
"59","59350","École maternelle","(50.618953906661055, 3.0361604477208544)"
"59","59350","Enseignement Secondaire","(50.638388968409416, 3.066090264046972)"
"59","59350","Enseignement supérieur","(50.63834406056917, 3.0661593532086844)"
"59","59350","École maternelle","(50.62575074864759, 3.0523405646012987)"
"59","59350","Enseignement supérieur","(50.63085896362205, 3.0672105489810444)"
"59","59350","École maternelle","(50.62860385699744, 3.026350248247726)"
"59","59350","Enseignement Secondaire","(50.62849100474877, 3.093059530340339)"
"59","59350","Enseignement supérieur","(50.63359355751572, 3.0540899809877446)"
"59","59350","Enseignement Secondaire","(50.631209016671875, 3.0476998681502683)"
"59","59350","École maternelle","(50.60737804289724, 3.056690595674404)"
"59","59350","École maternelle","(50.621265323741255, 3.047940121360342)"
"59","59350","Enseignement Secondaire","(50.63057224212262, 3.0941300809678545)"
"59","59350","École maternelle","(50.63073685756688, 3.0899792985776298)"
"59","59350","Enseignement Secondaire","(50.61405896354524, 3.066999066287972)"
"59","59350","Enseignement Secondaire","(50.63995408427729, 3.0890502879728996)"
"59","59350","École maternelle","(50.64060207765621, 3.086429329164749)"
"59","59350","Enseignement Secondaire","(50.6286268689042, 3.04080932476441)"
"59","59350","Enseignement Secondaire","(50.6286268689042, 3.04080932476441)"
"59","59350","École maternelle","(50.631915355841905, 3.0718104395484964)"
"59","59350","Enseignement Secondaire","(50.633667082316386, 3.0499598948344135)"
"59","59350","Enseignement Secondaire","(50.639005767198526, 3.084840383706124)"
"59","59350","École maternelle","(50.6227991266105, 3.0687798074502575)"
"59","59350","Enseignement Secondaire","(50.62936785152061, 3.107440019695243)"
"59","59350","Enseignement supérieur","(50.6336862958471, 3.0664100296670025)"
"33","33063","Enseignement supérieur","(44.86497727909158, -0.5775730194506482)"
"33","33063","Enseignement Secondaire","(44.847453591840925, -0.571239120918023)"
"33","33063","Enseignement Secondaire","(44.850296528171725, -0.6056624366952137)"
"33","33063","Enseignement Secondaire","(44.85025427080923, -0.605576101350948)"
"33","33063","Enseignement Secondaire","(44.853846387129956, -0.5970920084566785)"
"33","33063","Enseignement supérieur","(44.85322174533617, -0.609662910111102)"
"33","33063","Enseignement Secondaire","(44.853839730101235, -0.5970193595333579)"
"33","33063","École maternelle","(44.84399046770702, -0.6202391371916541)"
"33","33063","Enseignement supérieur","(44.833208367468465, -0.5981725782722576)"
"33","33063","Enseignement supérieur","(44.8607194797142, -0.5880183294343191)"
"33","33063","Enseignement Secondaire","(44.85201740613806, -0.5945712687473195)"
"33","33063","Enseignement supérieur","(44.820809050305854, -0.6000526149016107)"
"33","33063","Enseignement supérieur","(44.837510498867566, -0.5735478720824688)"
"33","33063","Enseignement Secondaire","(44.85698379149715, -0.5688766887572542)"
"33","33063","École maternelle","(44.8278633981652, -0.5627402841749314)"
"33","33063","Enseignement supérieur","(44.82496323329922, -0.5777972589014876)"
"33","33063","Enseignement supérieur","(44.85971545514464, -0.5573443205913122)"
"33","33063","École maternelle","(44.824260184402625, -0.5702504678337772)"
"33","33063","Enseignement Secondaire","(44.823987147711634, -0.5703331522679568)"
